tag.ID,date.time,lat,long,sex
515,8/6/2020 12:57,64.01718,-160.91241,F
515,8/7/2020 8:54,64.131287,-160.957982,F
515,8/12/2020 21:28,64.131287,-160.957982,F
515,8/13/2020 9:28,63.953142,-160.882113,F
515,8/13/2020 17:11,63.555623,-161.051248,F
530,8/9/2021 15:54,63.954632,-160.854024,F
530,8/9/2021 16:08,63.953841,-160.857668,F
535,8/6/2020 13:14,64.01718,-160.91241,M
535,8/9/2020 23:52,64.039991,-160.900489,M
550,8/9/2021 16:29,63.954632,-160.854024,M
550,8/9/2021 19:28,63.953475,-160.869926,M
555,8/6/2020 13:29,64.01718,-160.91241,F
555,8/7/2020 19:57,63.95299,-160.888171,F
555,8/8/2020 9:42,63.555623,-161.051248,F
570,8/9/2021 16:29,63.954632,-160.854024,M
570,8/9/2021 16:36,63.953841,-160.857668,M
570,8/10/2021 19:25,63.557764,-161.056892,M
575,8/6/2020 13:38,64.01718,-160.91241,M
575,8/8/2020 14:12,63.95299,-160.888171,M
575,8/9/2020 6:40,63.555623,-161.051248,M
590,8/10/2021 10:45,63.95564,-160.85443,M
590,8/10/2021 11:19,63.953475,-160.869926,M
590,8/13/2021 23:09,63.557764,-161.056892,M
610,8/10/2021 11:12,63.95564,-160.85443,F
610,8/10/2021 11:22,63.953841,-160.857668,F
610,8/11/2021 7:21,63.557764,-161.056892,F
615,8/6/2020 13:44,64.01718,-160.91241,M
615,8/6/2020 18:40,64.131052,-160.976405,M
615,8/8/2020 1:26,64.131239,-160.964123,M
615,8/8/2020 11:12,63.95299,-160.888171,M
615,8/8/2020 18:39,63.557764,-161.056892,M
630,8/10/2021 12:08,63.95564,-160.85443,M
630,8/10/2021 12:17,63.953475,-160.869926,M
630,8/11/2021 4:01,63.953841,-160.857668,M
630,8/11/2021 23:12,63.557764,-161.056892,M
635,8/6/2020 13:47,64.01718,-160.91241,M
635,8/8/2020 16:45,64.131239,-160.964123,M
650,8/10/2021 13:08,63.95564,-160.85443,F
650,8/10/2021 13:20,63.953841,-160.857668,F
650,8/11/2021 5:53,63.557764,-161.056892,F
655,8/6/2020 13:49,64.01718,-160.91241,F
655,8/7/2020 9:25,64.131239,-160.964123,F
655,8/8/2020 20:17,64.131144,-160.970255,F
655,8/9/2020 14:38,63.95299,-160.888171,F
670,8/10/2021 13:18,63.95564,-160.85443,F
670,8/10/2021 14:38,63.95299,-160.888171,F
670,8/11/2021 13:20,63.557764,-161.056892,F
675,8/6/2020 13:58,64.01718,-160.91241,M
675,8/6/2020 22:53,63.95299,-160.888171,M
675,8/7/2020 9:24,63.555623,-161.051248,M
690,8/10/2021 14:07,63.91186,-160.81835,M
690,8/11/2021 15:41,63.557764,-161.056892,M
690,8/23/2021 23:59,63.555623,-161.051248,M
695,8/6/2020 14:16,64.01718,-160.91241,F
695,8/6/2020 23:55,64.131052,-160.976405,F
695,8/7/2020 16:37,64.131052,-160.976405,F
710,8/10/2021 14:32,63.91186,-160.81835,M
710,8/14/2021 21:40,63.557764,-161.056892,M
715,8/6/2020 14:30,64.01718,-160.91241,M
715,8/7/2020 14:29,63.953142,-160.882113,M
715,8/7/2020 22:24,63.555623,-161.051248,M
715,8/26/2020 21:00,63.555623,-161.051248,M
730,8/12/2021 9:55,63.91186,-160.81835,F
730,8/12/2021 13:28,63.953841,-160.857668,F
735,8/6/2020 14:45,64.01718,-160.91241,M
735,8/6/2020 19:19,63.953142,-160.882113,M
735,8/7/2020 6:10,63.555623,-161.051248,M
735,8/9/2020 20:00,63.555623,-161.051248,M
750,8/12/2021 10:14,63.91186,-160.81835,M
750,8/12/2021 10:25,63.953841,-160.857668,M
750,8/13/2021 13:03,63.557764,-161.056892,M
750,9/1/2021 5:11,63.95299,-160.888171,M
